Metrics	dataset
number_of_reads	6234774
number_of_bases	1819949993.0
median_read_length	300.0
mean_read_length	291.9
read_length_stdev	27.9
n50	300.0
mean_qual	24.4
median_qual	29.7
longest_read_(with_Q):1	301 (33.0)
longest_read_(with_Q):2	301 (24.5)
longest_read_(with_Q):3	301 (33.9)
longest_read_(with_Q):4	301 (24.6)
longest_read_(with_Q):5	301 (31.2)
highest_Q_read_(with_length):1	37.9 (269)
highest_Q_read_(with_length):2	37.9 (269)
highest_Q_read_(with_length):3	37.9 (269)
highest_Q_read_(with_length):4	37.9 (269)
highest_Q_read_(with_length):5	37.9 (268)
Reads >Q10:	6234774 (100.0%) 1819.9Mb
Reads >Q15:	6227145 (99.9%) 1817.7Mb
Reads >Q20:	5668215 (90.9%) 1658.6Mb
Reads >Q25:	4383383 (70.3%) 1281.7Mb
Reads >Q30:	3025795 (48.5%) 880.0Mb
